Job Type,Category,Description,Add Description On Line Item,Estimated hour,Next Service Days,Next Service Odometer,Is COI Service,Is Rego Service,Hide Items,Hide Item Quantity,Hide Item Price,Tags
Minor Service,,,false,,180,,false,,n,n,n,""
Major Service,,,false,,180,,false,,n,n,n,""
Log book Service,,,false,,180,,false,,n,n,n,""
Road Worthy,,,false,,,,false,,n,n,n,""
Clutch & Transmission,,,false,,,,false,,n,n,n,""
Cooling Systems,,,false,,,,false,,n,n,n,""
Brake Systems,,,false,,,,false,,n,n,n,""
Suspension & Shock Absorbers,,,false,,,,false,,n,n,n,""
Exhaust Systems,,,false,,,,false,,n,n,n,""
Electrical,,,false,,,,false,,n,n,n,""
Diagnose estimate repair cost,,,false,,,,false,,n,n,n,""
Attempted theft damage,,,false,,,,false,,n,n,n,""
NEW SCOOTER PD,,,false,,,,false,,n,n,n,""
Tyre Fitting,,,false,,,,false,,n,n,n,""
DIAGNOSE MAKE RUN ?,,,false,,,,false,,n,n,n,""
TEST RIDE/DEMO,,,false,,,,false,,n,n,n,""
REPLACE BATTERY,,,false,,,,false,,n,n,n,""
Carby clean,,Ultrasonic clean carburettor,false,1.0,,,false,,n,n,n,""
NEW SCOOTER SALE,,,false,,,,false,,n,n,n,""
Emergency/on the spot repair,,,false,,,,false,,n,n,n,""
panel/paint,,,false,,,,false,,n,n,n,""
speedo not working,,,false,,,,false,,n,n,n,""
FUEL LEAK,,,false,,,,false,,n,n,n,""
INSURANCE QUOTE,,,false,,,,false,,n,n,n,""
SECOND HAND SCOOTER SALES,,,false,,,,false,,n,n,n,""
Oil and filter change,,,false,,,,false,,n,n,n,""
Engine exchange,,,false,,,,false,,n,n,n,""
Warranty,,,false,,,,false,,n,n,n,""
Check over,,,false,,,,false,,n,n,n,""
Engine work,,,false,,,,false,,n,n,n,""
Diagnose repair,,,false,,,,false,,n,n,n,""
Steering bearings Lube/adjust or replace,,,false,,,,false,,n,n,n,""
Valve ajustments,,,false,,,,false,,n,n,n,""
Pre delivery and registration,,,false,,,,false,,n,n,n,""
Wova Vehicle,,,false,,,,false,,n,n,n,""
Seat re cover,,,false,,,,false,,n,n,n,""
Restoration,,,false,,,,false,,n,n,n,""
Replace parts,,,false,,,,false,,n,n,n,""
Parts only,,,false,,,,false,,n,n,n,""
Fit parts supplied by customer,,,false,,,,false,,n,n,n,""
Pick Up,,,false,,,,false,,n,n,n,""
Key programming,,,false,,,,false,,n,n,n,""
Oil Leaks,,,false,,,,false,,n,n,n,""
Insurance repair Quoted and approved,,,false,,,,false,,n,n,n,""
Valve clearance check/adjust,,,false,,,,false,,n,n,n,""
Parts fitting,,,false,,,,false,,n,n,n,""
Second hand motorcycles,,,false,,,,false,,n,n,n,""
No-Start Diagnosis,,,false,,,,false,,n,n,n,""
No-Start Diagnosis/Service,,,false,,,,false,,n,n,n,""
Running Bike Diagnosis/Service,,,false,,,,false,,n,n,n,""
