Query,Clicks,Impressions,CTR,Position
electric moped perth,5,37,13.5%,9.6
scooter shop fremantle,5,18,27.8%,1.3
scooter shop perth,4,57,7%,2.0
sym echs,2,142,1.4%,9.4
moped for sale perth,2,40,5%,7.4
vespa for sale perth,2,34,5.9%,8.9
moped,2,29,6.9%,15.9
scootershop,2,18,11.1%,14.9
mopeds perth,2,13,15.4%,7.0
scooter shop dianella,2,5,40%,1.8
cheap electric scooters near me,2,5,40%,2.0
yamaha yzf750 for sale,2,4,50%,6.5
scooter perth,1,30,3.3%,11.5
sym echs 125,1,29,3.4%,8.4
moped for sale,1,28,3.6%,7.8
mopeds,1,24,4.2%,11.2
vespa perth,1,23,4.3%,6.6
echs 125,1,18,5.6%,10.6
motor scooter,1,13,7.7%,17.4
scooter parts perth,1,11,9.1%,7.4
scooter sales perth,1,6,16.7%,3.2
scooter store perth,1,6,16.7%,5.5
e300se,1,6,16.7%,9.8
motorcycle tyre fitting,1,6,16.7%,25.7
moped shop,1,5,20%,3.2
scooter shops in perth,1,4,25%,3.5
sym drgbt 160,1,4,25%,7.0
motor scooters,1,3,33.3%,28.3
scooters 50cc for sale,1,2,50%,2.5
125cc scooter for sale,1,2,50%,7.0
vespa scooter perth,1,2,50%,8.0
echs125,1,2,50%,8.5
e scooter service near me,1,2,50%,9.5
scooter second hand near me,1,1,100%,1.0
scooter ahop,1,1,100%,2.0
scooter shop near me open now,1,1,100%,2.0
brand new moped for sale,1,1,100%,3.0
frank scooter,1,1,100%,8.0
moped for rent,1,1,100%,8.0
scooter maintenance,1,1,100%,11.0
scooters,0,211,0%,21.6
scooter shop,0,84,0%,6.2
scooters for sale,0,61,0%,11.9
scooter shop near me,0,46,0%,10.5
scooters for sale perth,0,44,0%,9.3
scooters perth,0,39,0%,12.1
electric scooter shop,0,37,0%,19.2
scooter,0,33,0%,52.9
scooter shops near me,0,29,0%,6.4
electric scooter,0,27,0%,53.9
mopeds adelaide,0,26,0%,56.2
electric scooters,0,23,0%,45.9
electric scooters near me,0,21,0%,27.0
buy electric scooter,0,21,0%,35.8
scooter shops,0,20,0%,13.8
escooter shop,0,20,0%,28.2
scooters near me,0,20,0%,32.6
scooter shops perth,0,18,0%,3.9
vespa shop,0,18,0%,8.4
moped scooter,0,18,0%,11.2
buy scooter,0,18,0%,11.5
electric scooter perth,0,18,0%,30.8
scooter for sale perth,0,17,0%,6.1
motorcycle hire perth,0,15,0%,10.9
scooters for sale adelaide,0,15,0%,51.1
sym echs 125 price,0,14,0%,5.6
electric scooter shop perth,0,13,0%,6.3
mopeds for sale perth,0,13,0%,11.3
e scooter shop near me,0,13,0%,14.8
scooter motorcycle,0,13,0%,17.5
electric scooter shop near me,0,13,0%,20.8
motorcycle tyre repair,0,13,0%,30.0
scooter places near me,0,13,0%,43.5
50cc scooter adelaide,0,13,0%,46.5
electric scooter australia,0,13,0%,57.8
motorcycle dealers perth,0,12,0%,55.8
scooter for sale,0,11,0%,9.1
sym orbit 125,0,11,0%,10.0
50cc moped for sale,0,11,0%,10.9
scooter repair,0,11,0%,18.3
50cc moped sale,0,11,0%,19.5
scooter for sale 50cc,0,11,0%,19.9
electric scooter near me,0,11,0%,20.8
electric scooters perth western australia,0,11,0%,32.8
e scooter perth,0,11,0%,44.9
scooter sales adelaide,0,11,0%,51.6
the scooter shop,0,10,0%,4.2
buy scooter perth,0,10,0%,5.6
scooter sale,0,10,0%,7.4
scooter bike,0,10,0%,15.5
perth scooters,0,10,0%,24.8
buy scooters online,0,10,0%,32.3
electric mopeds,0,10,0%,39.1
motorcycle shops perth,0,10,0%,55.8
moped perth,0,9,0%,4.1
scooter near me,0,9,0%,10.3
motorcycle tyre fitting near me,0,9,0%,10.6
electric motorbike perth,0,9,0%,15.1
scooter hut perth,0,9,0%,17.2
cheap scooters,0,9,0%,20.4
